"Hormones.SL","Hormones.BRC1_2","Hormones.CK","Hormones.Aux_Shoot","Hormones.ABA","Hormones.Bud_release","Hormones.PAT_Bud","Hormones.Aux_Bud","Hormones.SUC","Hormones.Sustained_growth","Hormones.GA","Hormones.Decap_signal","Hormones.CXE","Hormones.SMXL6_7_8","Hormones.FHY3_FAR1","Hormones.SPL9_15","Hormones.SMXL6_7_8_Transcription","Hormones.Low_R_FR","Hormones.MAX2","Hormones.D14","Hormones.Perception_SL","Hormones.D27","Hormones.MAX3","Hormones.MAX4","Hormones.MAX1","Hormones.LBO","Hormones.CLAMT","Hormones.PhyB","Hormones.High_R_FR","Hormones.PIFs","Hormones.HB21_40_53","Hormones.NCED3","Gene.name","Gene.kind","Gene.SL_n","Gene.BRC1_2_n","Gene.CK_n","Gene.Aux_n","Gene.ABA_n","Gene.PIN_1_3_4_7_n","Gene.Aux_Bud_n","Gene.SUC_n","Gene.GA_n","Gene.Decap_signal_n","Gene.CXE_n","Gene.SMXL6_7_8_n","Gene.FHY3_FAR1_n","Gene.SPL9_15_n","Gene.MAX2_n","Gene.D14_n","Gene.D27_n","Gene.MAX3_n","Gene.MAX4_n","Gene.MAX1_n","Gene.LBO_n","Gene.CLAMT_n","Gene.PhyB_n","Gene.PIFs_n","Gene.HB21_40_53_n","Gene.NCED3_n","Gene.Perception_SL","Gene.SUC_band"
1,1.42857142857143,0.1,1,0,0.116666666666667,0.7,1,0.1,0.148484848484848,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_ABA_n","single_mutant",1,1,1,1,0,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,2,0.0736842105263158,0.7,1,0.1,0.0937799043062201,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_ABA_n","single_overexpression",1,1,1,1,2,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0,1,0.1,0,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_PIN_1_3_4_7_n","single_mutant",1,1,1,1,1,0,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,1.4,1,0.1,0.164222873900293,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_PIN_1_3_4_7_n","single_overexpression",1,1,1,1,1,2,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.366666666666667,0,0.1,0,0,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_Aux_Bud_n","single_mutant",1,1,1,1,1,1,0,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,1.03333333333333,2,0.1,0.16969696969697,2,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_Aux_Bud_n","single_overexpression",1,1,1,1,1,1,2,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_SUC_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_SUC_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0,0,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_GA_n","single_mutant",1,1,1,1,1,1,1,0.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,2,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_GA_n","single_overexpression",1,1,1,1,1,1,1,0.1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
4,1.5,0,2,1,0,0.222222222222222,1,0,0,1,0,1,1,1,1,1,1,1.33333333333333,1,1,1,2,4,4,4,4,1,1,1,1,1,"mutant_Decap_signal_n","single_mutant",1,1,1,1,1,1,1,0.1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
0.72597797511583,1.32261409479326,0.239294446822855,0.666666666666667,1,0.204213095446747,1.29648717468376,1,0.2,0.341381094198149,1,2,1,1.144886569443,1,0.961160286319568,0.925224819249873,1,1.25,1,0.704403086287237,1,0.79531009954473,0.586182229071213,0.712379688325065,0.735290574147086,0.73004855567351,1,1,1,1,1,"overexpression_Decap_signal_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
2,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,0,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_CXE_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
0.719816910181572,1.42835616796836,0.103277745960429,1,1,0.0908353848750004,0.700403035271811,1,0.1,0.114976376568633,1,1,2,1.06806944477823,1,0.993342627360025,0.986773309725998,1,1.29032258064516,1,0.787868041330225,1,1.06777645936762,1.05805787117996,1.08068700663367,1.02391407650625,1.02447808222437,1,1,1,1,1,"overexpression_CXE_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.66666666666667,0.1,1,1,0.0857142857142857,0.7,1,0.1,0.109090909090909,1,1,1,0,1,1.33333333333333,2,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_SMXL6_7_8_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.31807126995876,0.1,1,1,0.0926339504358899,0.7,1,0.1,0.117897784292379,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_SMXL6_7_8_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.80564071122011,0.1,1,1,0.0832355192651187,0.7,1,0.1,0.105937992643195,1,1,1,0.618055555555556,0,1.52785145888594,1.23605150214592,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_FHY3_FAR1_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.24199019977384,0.1,1,1,0.0942953616491914,0.7,1,0.1,0.12001092001092,1,1,1,1.41420118343195,2,0.73879781420765,0.82843137254902,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_FHY3_FAR1_n","single_overexpression",1,1,1,1,1,1,1,0.1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,0.714285714285714,0.1,1,0.714285714285714,0.116666666666667,0.7,1,0.1,0.148484848484848,1,1,1,1,1,0,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,0.714285714285714,0.714285714285714,"mutant_SPL9_15_n","single_mutant",1,1,1,1,1,1,1,0.1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
